old:	 userId = 0017550b3a324275a5d542e7d74a6d8b	 clientCode = [-9, -9, 43, 20, 43, 20, 63, 41, 83, -77, -97]	 channelId = 10000	 matchCode.A = [-9, -1, 43, 20, 43, 22, 63, 41, 83, -109, -65, 2, 0, -30, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -32, 76]	 matchCode.B = 6	 result.channel_id = 226
new:	 userId = 0087d849cd354c4988624cb131d72351	 clientCode = [71, 31, 63, 2, 40, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 45, -114]	 matchCode.B = 1	 result.channel_id = 223
old:	 userId = 008e5c33f70445bea7c31ff2ad0cc800	 clientCode = [-48, -1, 102, 22, 23, 0, -74, 41, -47, 74, 8]	 channelId = 10000	 matchCode.A = [-48, -1, 70, 20, 19, 0, -74, 105, -47, 74, 8, 2, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -124, 30]	 matchCode.B = 6	 result.channel_id = 8
new:	 userId = 008e5c33f70445bea7c31ff2ad0cc800	 clientCode = [-48, -1, 102, 22, 23, 0, -74, 41, -47, 74, 8]	 channelId = 10000	 matchCode.A = [-48, -1, 70, 20, 19, 0, -74, 105, -47, 74, 8, 2, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -124, 30]	 matchCode.B = 6	 result.channel_id = 8
old:	 userId = 00e47ee95aa9471eab6170473db82c81	 clientCode = [-126, -106, -3, 7, -75, -24, -112, -74, 84, 77, -106]	 channelId = 10000	 matchCode.A = [-110, -106, -3, 7, -75, -24, -112, -106, 84, 77, -106, 0, 0, 4, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -82, 52]	 matchCode.B = 5	 result.channel_id = 4
new:	 userId = 00e47ee95aa9471eab6170473db82c81	 clientCode = [-126, -106, -3, 7, -75, -24, -112, -74, 84, 77, -106]	 channelId = 10000	 matchCode.A = [-110, -106, -3, 7, -75, -24, -112, -106, 84, 77, -106, 0, 0, 4, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -82, 52]	 matchCode.B = 5	 result.channel_id = 4
old:	 userId = 00e481b8cefb4e57b30cbf1a058b25f3	 clientCode = [39, -1, 110, 15, 22, -94, -8, -16, 81, -116, -97]	 channelId = 10000	 matchCode.A = [39, -1, 110, 15, 22, -80, -8, -16, 81, -116, 31, 1, 0, 3, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 38, -31]	 matchCode.B = 13	 result.channel_id = 3
new:	 userId = 00e481b8cefb4e57b30cbf1a058b25f3	 clientCode = [39, -1, 110, 15, 22, -94, -8, -16, 81, -116, -97]	 channelId = 10000	 matchCode.A = [39, -1, 110, 15, 22, -80, -8, -16, 81, -116, 31, 1, 0, 3, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 38, -31]	 matchCode.B = 13	 result.channel_id = 3
old:	 userId = 00f74c75fcc5481699b4f2ecb8d9f7e4	 clientCode = [31, 18, -7, 31, -1, -16, -112, 41, -2, 15, -44]	 channelId = 11	 matchCode.A = [31, 22, -7, 31, -1, -16, -112, 41, 124, 15, -44, 1, 0, 11, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -126, -89]	 matchCode.B = 11	 result.channel_id = 11
new:	 userId = 00f74c75fcc5481699b4f2ecb8d9f7e4	 clientCode = [31, 18, -7, 31, -1, -16, -112, 41, -2, 15, -44]	 channelId = 11	 matchCode.A = [31, 22, -7, 31, -1, -16, -112, 41, 124, 15, -44, 1, 0, 11, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -126, -89]	 matchCode.B = 11	 result.channel_id = 11
old:	 userId = 01007b391ee24a829af997c48225d448	 clientCode = [71, -97, 63, 2, 41, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 53, 94]	 matchCode.B = 9	 result.channel_id = 223
new:	 userId = 01007b391ee24a829af997c48225d448	 clientCode = [71, -97, 63, 2, 41, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 53, 94]	 matchCode.B = 9	 result.channel_id = 223
old:	 userId = 012062ec6dfb4b30a07ed31af33f7cab	 clientCode = [11, -10, 105, 32, 43, -16, -24, 43, 15, -62, -1]	 channelId = 212	 matchCode.A = [11, -4, 105, 0, 43, -16, -24, 43, 11, -62, -1, 1, 0, -44, -84, 31, 6, -70, 0, 0, 1, 98, 60, -30, -25, -10]	 matchCode.B = 11	 result.channel_id = 212
new:	 userId = 012062ec6dfb4b30a07ed31af33f7cab	 clientCode = [11, -10, 105, 32, 43, -16, -24, 43, 15, -62, -1]	 channelId = 212	 matchCode.A = [11, -4, 105, 0, 43, -16, -24, 43, 11, -62, -1, 1, 0, -44, -84, 31, 6, -70, 0, 0, 1, 98, 60, -30, -25, -10]	 matchCode.B = 11	 result.channel_id = 212
old:	 userId = 012cd61955b64c05b51909daa2adbd00	 clientCode = [11, -65, -41, -24, -101, -29, 96, -24, 1, -22, -88]	 channelId = 10000	 matchCode.A = [75, -65, -41, -24, -109, -21, 96, -24, 1, -6, -88, 1, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 53, 17]	 matchCode.B = 15	 result.channel_id = 8
new:	 userId = 012cd61955b64c05b51909daa2adbd00	 clientCode = [11, -65, -41, -24, -101, -29, 96, -24, 1, -22, -88]	 channelId = 10000	 matchCode.A = [75, -65, -41, -24, -109, -21, 96, -24, 1, -6, -88, 1, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 53, 17]	 matchCode.B = 15	 result.channel_id = 8
old:	 userId = 0134ddcafc6e44fcbfab3e0d854fdc74	 clientCode = [-23, -108, 24, -4, -32, -1, 23, -41, -114, -35, -12]	 channelId = 10000	 matchCode.A = [-23, -108, 16, -4, -16, -1, 23, -41, -114, -39, -12, 4, 0, 1, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, 76, -13]	 matchCode.B = 1	 result.channel_id = 1
new:	 userId = 0134ddcafc6e44fcbfab3e0d854fdc74	 clientCode = [-23, -108, 24, -4, -32, -1, 23, -41, -114, -35, -12]	 channelId = 10000	 matchCode.A = [-23, -108, 16, -4, -16, -1, 23, -41, -114, -39, -12, 4, 0, 1, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, 76, -13]	 matchCode.B = 1	 result.channel_id = 1
old:	 userId = 0174e988c4884638942e2b11aa16b398	 clientCode = [-32, -1, -2, 31, 6, -16, -24, -112, -16, 96, 23]	 channelId = 10000	 matchCode.A = [-32, -1, -10, 31, 4, -16, -24, -112, -14, 96, 55, 0, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, 113, -43]	 matchCode.B = 7	 result.channel_id = 13
new:	 userId = 0174e988c4884638942e2b11aa16b398	 clientCode = [-32, -1, -2, 31, 6, -16, -24, -112, -16, 96, 23]	 channelId = 10000	 matchCode.A = [-32, -1, -10, 31, 4, -16, -24, -112, -14, 96, 55, 0, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, 113, -43]	 matchCode.B = 7	 result.channel_id = 13
old:	 userId = 017e49264eb24d1c8ba2696522e854df	 clientCode = [63, -1, 67, -112, 2, -22, -71, 2, -45, 66, -65]	 channelId = 10000	 matchCode.A = [62, -1, 67, -112, 2, -21, -71, 67, -45, 66, -65, 4, 0, -34, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -25, -29]	 matchCode.B = 1	 result.channel_id = 222
new:	 userId = 017e49264eb24d1c8ba2696522e854df	 clientCode = [63, -1, 67, -112, 2, -22, -71, 2, -45, 66, -65]	 channelId = 10000	 matchCode.A = [62, -1, 67, -112, 2, -21, -71, 67, -45, 66, -65, 4, 0, -34, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -25, -29]	 matchCode.B = 1	 result.channel_id = 222
old:	 userId = 017ef5d9ab4e4f1289d5160bc5b114df	 clientCode = [-41, 39, -1, -1, 6, -97, 6, -33, 39, 52, 0]	 channelId = 10000	 matchCode.A = [-41, 39, -1, -1, 23, -97, 6, -33, 37, 48, 0, 0, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -77, -59]	 matchCode.B = 1	 result.channel_id = 8
new:	 userId = 017ef5d9ab4e4f1289d5160bc5b114df	 clientCode = [-41, 39, -1, -1, 6, -97, 6, -33, 39, 52, 0]	 channelId = 10000	 matchCode.A = [-41, 39, -1, -1, 23, -97, 6, -33, 37, 48, 0, 0, 0, 8, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -77, -59]	 matchCode.B = 1	 result.channel_id = 8
old:	 userId = 0196ba8135724435921666bd1ccda247	 clientCode = [111, 43, 70, 51, -60, 31, 63, -65, 32, 48, 111]	 channelId = 10000	 matchCode.A = [111, 43, 86, 51, -60, 31, 31, -1, 32, 49, 111, 0, 0, 8, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -69, 105]	 matchCode.B = 7	 result.channel_id = 8
new:	 userId = 0196ba8135724435921666bd1ccda247	 clientCode = [111, 43, 70, 51, -60, 31, 63, -65, 32, 48, 111]	 channelId = 10000	 matchCode.A = [111, 43, 86, 51, -60, 31, 31, -1, 32, 49, 111, 0, 0, 8, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -69, 105]	 matchCode.B = 7	 result.channel_id = 8
old:	 userId = 01c6251df7a84f27a6422995808201ab	 clientCode = [-9, -25, -18, 7, -41, -106, 0, 16, 113, 117, 7]	 channelId = 13	 matchCode.A = [-9, -29, -18, 23, -41, -106, 0, 0, 115, 117, 7, 0, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -101, 60]	 matchCode.B = 3	 result.channel_id = 13
new:	 userId = 01c6251df7a84f27a6422995808201ab	 clientCode = [-9, -25, -18, 7, -41, -106, 0, 16, 113, 117, 7]	 channelId = 13	 matchCode.A = [-9, -29, -18, 23, -41, -106, 0, 0, 115, 117, 7, 0, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -101, 60]	 matchCode.B = 3	 result.channel_id = 13
old:	 userId = 01c953a31ed8439caf54eb9ad58235c4	 clientCode = [-48, 0, 123, -64, 104, -19, 104, 105, -37, -21, -72]	 channelId = 7	 matchCode.A = [-48, 0, 123, -64, 105, -19, 104, -23, -53, -22, -72, 0, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 106, -106]	 matchCode.B = 7	 result.channel_id = 7
new:	 userId = 01c953a31ed8439caf54eb9ad58235c4	 clientCode = [-48, 0, 123, -64, 104, -19, 104, 105, -37, -21, -72]	 channelId = 7	 matchCode.A = [-48, 0, 123, -64, 105, -19, 104, -23, -53, -22, -72, 0, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 106, -106]	 matchCode.B = 7	 result.channel_id = 7
old:	 userId = 01e28eafe2924ddebc4481647ec46d04	 clientCode = [2, -108, 43, -24, 107, 111, 11, 15, 79, -77, -45]	 channelId = 10000	 matchCode.A = [0, -108, 41, -24, 111, -17, 11, 15, 79, -77, -45, 3, 0, 9, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -89, 18]	 matchCode.B = 8	 result.channel_id = 9
new:	 userId = 01e28eafe2924ddebc4481647ec46d04	 clientCode = [2, -108, 43, -24, 107, 111, 11, 15, 79, -77, -45]	 channelId = 10000	 matchCode.A = [0, -108, 41, -24, 111, -17, 11, 15, 79, -77, -45, 3, 0, 9, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -89, 18]	 matchCode.B = 8	 result.channel_id = 9
old:	 userId = 0252285756ed430a98fc3b15fea20234	 clientCode = [7, -97, -65, 2, 40, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [7, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 1, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 33, -105]	 matchCode.B = 2	 result.channel_id = 223
new:	 userId = 0252285756ed430a98fc3b15fea20234	 clientCode = [7, -97, -65, 2, 40, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [7, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 1, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 33, -105]	 matchCode.B = 2	 result.channel_id = 223
old:	 userId = 02586dacd45444cfae43cdbf60d288bd	 clientCode = [31, 31, -33, -22, 32, -8, -8, -8, 0, -64, -3]	 channelId = 10000	 matchCode.A = [31, 31, 31, -6, 32, -8, -8, -16, 0, -64, -3, 3, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 105, -34]	 matchCode.B = 1	 result.channel_id = 13
new:	 userId = 02586dacd45444cfae43cdbf60d288bd	 clientCode = [31, 31, -33, -22, 32, -8, -8, -8, 0, -64, -3]	 channelId = 10000	 matchCode.A = [31, 31, 31, -6, 32, -8, -8, -16, 0, -64, -3, 3, 0, 13, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 105, -34]	 matchCode.B = 1	 result.channel_id = 13
old:	 userId = 0267ba84879949949ccfba9196ac3d0e	 clientCode = [96, -39, 63, -9, 63, -105, 47, -3, -31, 112, 105]	 channelId = 10000	 matchCode.A = [96, -39, 63, -9, 61, -105, 47, -8, -31, 112, 105, 3, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -30, -29, -80]	 matchCode.B = 15	 result.channel_id = 1
new:	 userId = 0267ba84879949949ccfba9196ac3d0e	 clientCode = [96, -39, 63, -9, 63, -105, 47, -3, -31, 112, 105]	 channelId = 10000	 matchCode.A = [96, -39, 63, -9, 61, -105, 47, -8, -31, 112, 105, 3, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -30, -29, -80]	 matchCode.B = 15	 result.channel_id = 1
old:	 userId = 026a041f079544b685cd593a64c65075	 clientCode = [2, -4, 43, -64, 43, -8, -44, 43, 74, 70, -1]	 channelId = 10000	 matchCode.A = [4, -3, 43, -64, 43, -8, -44, 43, 66, 70, -1, 1, 0, 6, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 72, -119]	 matchCode.B = 1	 result.channel_id = 6
new:	 userId = 026a041f079544b685cd593a64c65075	 clientCode = [2, -4, 43, -64, 43, -8, -44, 43, 74, 70, -1]	 channelId = 10000	 matchCode.A = [4, -3, 43, -64, 43, -8, -44, 43, 66, 70, -1, 1, 0, 6, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 72, -119]	 matchCode.B = 1	 result.channel_id = 6
old:	 userId = 02857f4f92644a46850f7da8f021c52c	 clientCode = [-23, -108, 16, -8, -16, -65, 19, 30, -120, -103, -4]	 channelId = 10000	 matchCode.A = [-23, -108, 16, -4, -16, -65, 23, 31, -120, -99, -4, 0, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 35, -61]	 matchCode.B = 5	 result.channel_id = 1
new:	 userId = 02857f4f92644a46850f7da8f021c52c	 clientCode = [-23, -108, 16, -8, -16, -65, 19, 30, -120, -103, -4]	 channelId = 10000	 matchCode.A = [-23, -108, 16, -4, -16, -65, 23, 31, -120, -99, -4, 0, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 35, -61]	 matchCode.B = 5	 result.channel_id = 1
old:	 userId = 02b03a8359fe414d927fd76ffe8c78df	 clientCode = [28, -8, 8, -41, 111, 31, 31, 23, -37, 17, 15]	 channelId = 10000	 matchCode.A = [28, -4, 8, -1, 111, 31, 31, 23, -53, 17, 15, 0, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 22, 90]	 matchCode.B = 3	 result.channel_id = 7
new:	 userId = 02b03a8359fe414d927fd76ffe8c78df	 clientCode = [28, -8, 8, -41, 111, 31, 31, 23, -37, 17, 15]	 channelId = 10000	 matchCode.A = [28, -4, 8, -1, 111, 31, 31, 23, -53, 17, 15, 0, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 22, 90]	 matchCode.B = 3	 result.channel_id = 7
old:	 userId = 02b853f6c1a2431bbcf5f0e37ac1508b	 clientCode = [-106, 22, 98, -106, 2, 23, 15, 3, 87, 119, 22]	 channelId = 10000	 matchCode.A = [-106, -106, 106, -106, 2, -105, 15, 3, 87, 119, -106, 0, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 46, -95]	 matchCode.B = 14	 result.channel_id = 221
new:	 userId = 02b853f6c1a2431bbcf5f0e37ac1508b	 clientCode = [-106, 22, 98, -106, 2, 23, 15, 3, 87, 119, 22]	 channelId = 10000	 matchCode.A = [-106, -106, 106, -106, 2, -105, 15, 3, 87, 119, -106, 0, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 46, -95]	 matchCode.B = 14	 result.channel_id = 221
old:	 userId = 02cd56e9efbd42e79d2c027199ffb708	 clientCode = [-16, -8, -23, -9, 41, 23, 31, 47, -18, 81, 1]	 channelId = 10000	 matchCode.A = [-16, -8, -23, -9, 41, 23, 31, 63, -18, 113, 0, 3, 0, -37, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 26, 74]	 matchCode.B = 1	 result.channel_id = 219
new:	 userId = 02cd56e9efbd42e79d2c027199ffb708	 clientCode = [-16, -8, -23, -9, 41, 23, 31, 47, -18, 81, 1]	 channelId = 10000	 matchCode.A = [-16, -8, -23, -9, 41, 23, 31, 63, -18, 113, 0, 3, 0, -37, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 26, 74]	 matchCode.B = 1	 result.channel_id = 219
old:	 userId = 02f2e913096f49959f674611462febe5	 clientCode = [-1, 105, -44, -1, -106, 3, 111, -49, -72, 56, 104]	 channelId = 10000	 matchCode.A = [-1, 105, -42, -1, -108, 3, 111, -33, -88, 56, 104, 4, 0, 12, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -47, -125]	 matchCode.B = 10	 result.channel_id = 12
new:	 userId = 02f2e913096f49959f674611462febe5	 clientCode = [-1, 105, -44, -1, -106, 3, 111, -49, -72, 56, 104]	 channelId = 10000	 matchCode.A = [-1, 105, -42, -1, -108, 3, 111, -33, -88, 56, 104, 4, 0, 12, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -47, -125]	 matchCode.B = 10	 result.channel_id = 12
old:	 userId = 0302c5bfbb5e448d9251f91bbf614f26	 clientCode = [71, -97, 127, 2, 41, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 41, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 51, 106]	 matchCode.B = 14	 result.channel_id = 223
new:	 userId = 0302c5bfbb5e448d9251f91bbf614f26	 clientCode = [71, -97, 127, 2, 41, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 41, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 51, 106]	 matchCode.B = 14	 result.channel_id = 223
old:	 userId = 03158191a66c46c7bf0a6ac0c9012376	 clientCode = [0, -105, 43, -34, 45, 23, 15, 23, 83, -15, 25]	 channelId = 10000	 matchCode.A = [0, -105, 43, -34, 40, 23, 15, 23, 83, -15, 25, 0, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -36, -103]	 matchCode.B = 9	 result.channel_id = 221
new:	 userId = 03158191a66c46c7bf0a6ac0c9012376	 clientCode = [0, -105, 43, -34, 45, 23, 15, 23, 83, -15, 25]	 channelId = 10000	 matchCode.A = [0, -105, 43, -34, 40, 23, 15, 23, 83, -15, 25, 0, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -36, -103]	 matchCode.B = 9	 result.channel_id = 221
old:	 userId = 031d087a27374dfa9b17697f334f8593	 clientCode = [-48, -4, 41, -15, 107, 31, 21, 63, -54, 19, -1]	 channelId = 10000	 matchCode.A = [-44, -4, 41, -7, 107, 31, 5, 63, -54, 19, -9, 0, 0, 6, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 29, -49]	 matchCode.B = 5	 result.channel_id = 6
new:	 userId = 031d087a27374dfa9b17697f334f8593	 clientCode = [-48, -4, 41, -15, 107, 31, 21, 63, -54, 19, -1]	 channelId = 10000	 matchCode.A = [-44, -4, 41, -7, 107, 31, 5, 63, -54, 19, -9, 0, 0, 6, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 29, -49]	 matchCode.B = 5	 result.channel_id = 6
old:	 userId = 031dd23115684949bb9bf15d76d1446e	 clientCode = [0, -106, 43, -48, 43, -23, 0, 43, -57, -81, -48]	 channelId = 10000	 matchCode.A = [0, -106, 47, -48, 43, -23, 1, 43, -57, -81, -46, 2, 0, -44, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 67, 90]	 matchCode.B = 1	 result.channel_id = 212
new:	 userId = 031dd23115684949bb9bf15d76d1446e	 clientCode = [0, -106, 43, -48, 43, -23, 0, 43, -57, -81, -48]	 channelId = 10000	 matchCode.A = [0, -106, 47, -48, 43, -23, 1, 43, -57, -81, -46, 2, 0, -44, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 67, 90]	 matchCode.B = 1	 result.channel_id = 212
old:	 userId = 0327a4a5b5f9493fb6486f741aa9a8cf	 clientCode = [7, -1, -17, 18, 0, 74, -106, 65, 117, 95, -34]	 channelId = 10000	 matchCode.A = [7, -1, -17, 18, 0, 66, -106, 65, 116, 95, -10, 1, 1, 49, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 41, -70]	 matchCode.B = 3	 result.channel_id = 305
new:	 userId = 0327a4a5b5f9493fb6486f741aa9a8cf	 clientCode = [7, -1, -17, 18, 0, 74, -106, 65, 117, 95, -34]	 channelId = 10000	 matchCode.A = [7, -1, -17, 18, 0, 66, -106, 65, 116, 95, -10, 1, 1, 49, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 41, -70]	 matchCode.B = 3	 result.channel_id = 305
old:	 userId = 032e9e5deb824d7ca3797f6477be4328	 clientCode = [-1, 25, 4, 63, -106, -5, 47, -108, -79, -87, -7]	 channelId = 204	 matchCode.A = [-1, 25, 4, 47, -106, -5, 47, -108, -95, -71, -5, 0, 0, -52, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -63, -100]	 matchCode.B = 6	 result.channel_id = 204
new:	 userId = 032e9e5deb824d7ca3797f6477be4328	 clientCode = [-1, 25, 4, 63, -106, -5, 47, -108, -79, -87, -7]	 channelId = 204	 matchCode.A = [-1, 25, 4, 47, -106, -5, 47, -108, -95, -71, -5, 0, 0, -52, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -63, -100]	 matchCode.B = 6	 result.channel_id = 204
old:	 userId = 033851dd09004d1c9b189dbf5dfce5c5	 clientCode = [-16, 64, 24, 0, -32, -42, 1, 22, -20, -35, 64]	 channelId = 10000	 matchCode.A = [-8, 64, 24, -128, -16, -34, 1, 22, -20, -35, 64, 0, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, 35, 42]	 matchCode.B = 4	 result.channel_id = 1
